time_s,action,x_m,y_m,z_m,yaw_deg,vx_body_m_s,vy_body_m_s,vz_m_s,yaw_rate_deg_s,tof_front_m,tof_back_m,tof_left_m,tof_right_m,tof_up_m,tof_down_m
11.135047,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
11.252301,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
11.345945,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
11.458695,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
11.567711,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
11.678924,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
11.790718,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
11.938150,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.021840,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.114721,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.228887,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.348818,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.442995,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.558990,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.667838,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.781619,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
12.895874,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.004902,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.117366,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.224828,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.331609,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.443646,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.552506,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.658785,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.766921,hover,-1.450000,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000,0.550000,2.400000,0.600000,,0.700000
13.877904,forward,-1.438333,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.438333,0.561667,2.400000,0.600000,,0.700000
13.989193,forward,-1.420833,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.420833,0.579167,2.400000,0.600000,,0.700000
14.098600,forward,-1.403333,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.403333,0.596667,2.400000,0.600000,,0.700000
14.237205,hover,-1.403333,-0.900000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.403333,0.596667,2.400000,0.600000,,0.700000
14.315121,forward,-1.397500,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.397500,0.602500,2.400000,0.600000,,0.700000
14.434220,forward,-1.380000,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.380000,0.620000,2.400000,0.600000,,0.700000
14.533038,forward,-1.368333,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.368333,0.631667,2.400000,0.600000,,0.700000
14.645738,forward,-1.350833,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.350833,0.649167,2.400000,0.600000,,0.700000
14.763601,forward,-1.333333,-0.900000,0.700000,0.000000,0.350000,0.000000,0.000000,0.000000,3.333333,0.666667,2.400000,0.600000,,0.700000
14.860297,left,-1.327500,-0.895833,0.700000,0.000000,0.000000,0.250000,0.000000,0.000000,3.327500,0.672500,2.395833,0.604167,,0.700000
14.968381,left,-1.327500,-0.883333,0.700000,0.000000,0.000000,0.250000,0.000000,0.000000,3.327500,0.672500,2.383333,0.616667,,0.700000
15.083543,left,-1.327500,-0.870833,0.700000,0.000000,0.000000,0.250000,0.000000,0.000000,3.327500,0.672500,2.370833,0.629167,,0.700000
15.192835,hover,-1.327500,-0.862500,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.327500,0.672500,2.362500,0.637500,,0.700000
15.301781,hover,-1.327500,-0.862500,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.327500,0.672500,2.362500,0.637500,,0.700000
15.413882,left,-1.327500,-0.850000,0.700000,0.000000,0.000000,0.250000,0.000000,0.000000,3.327500,0.672500,2.350000,0.650000,,0.700000
15.528461,left,-1.327500,-0.837500,0.700000,0.000000,0.000000,0.250000,0.000000,0.000000,3.327500,0.672500,2.337500,0.662500,,0.700000
15.646578,right,-1.327500,-0.833333,0.700000,0.000000,0.000000,-0.250000,0.000000,0.000000,3.327500,0.672500,2.333333,0.666667,,0.700000
15.739869,right,-1.327500,-0.841667,0.700000,0.000000,0.000000,-0.250000,0.000000,0.000000,3.327500,0.672500,2.341667,0.658333,,0.700000
15.849448,right,-1.327500,-0.854167,0.700000,0.000000,0.000000,-0.250000,0.000000,0.000000,3.327500,0.672500,2.354167,0.645833,,0.700000
15.959639,hover,-1.327500,-0.862500,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.327500,0.672500,2.362500,0.637500,,0.700000
16.071596,hover,-1.327500,-0.862500,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.327500,0.672500,2.362500,0.637500,,0.700000
